Commodity,Component,Supplier,Cost,SupplierPerformanceRating,ComponentPerformanceRating
Screen,60078,Castle Biosciences,983,9,9
Screen,60079,CB Insights,175,4,4
Screen,60080,Ceiba Solutions,657,6,9
Screen,60081,Center for Responsive Politics,1046,3,6
Screen,60082,Cerner,796,9,6
Screen,60083,Certara,896,3,8
Screen,60084,CGI,123,7,6
Screen,60085,Charles River Associates,885,1,3
Screen,60086,Charles Schwab Corp.,304,5,5
Screen,60087,Chemical Abstracts Service,184,6,7
Screen,60088,Child Care Desk,666,1,5
Screen,60089,Chubb,822,8,6
Screen,60090,Citigroup,333,3,8
Screen,60091,CityScan,642,8,6
Screen,60092,CitySourced,692,3,8
Screen,60093,Civic Impulse LLC,1020,8,3
Screen,60094,Civic Insight,820,4,9
Screen,60095,Civinomics,804,6,1
Screen,60096,Civis Analytics,792,7,1
Screen,60097,Clean Power Finance,752,6,6
Screen,60098,ClearHealthCosts,120,4,7
Screen,60099,ClearStory Data,625,6,7
Screen,60100,Climate Corporation,1064,8,5
Screen,60101,CliniCast,294,1,5
Screen,60102,Cloudmade,685,6,6
Screen,60103,Cloudspyre,388,1,8
Screen,60104,Code for America,910,1,2
Screen,60105,Code-N,467,1,8
Screen,60106,Collective IP,403,4,5
Screen,60107,"College Abacus, an ECMC initiative",953,5,2
Screen,60108,College Board,374,4,9
Screen,60109,Compared Care,432,9,3
Screen,60110,Compendia Bioscience Life Technologies,200,2,6
Screen,60111,Compliance and Risks,178,5,7
Screen,60112,Computer Packages Inc,86,4,2
Screen,60113,CONNECT-DOT LLC.,45,6,8
Screen,60114,ConnectEDU,853,8,7
Screen,60115,Connotate,508,8,6
Screen,60116,Construction Monitor LLC,489,1,2
Screen,60117,Consumer Reports,560,9,7
Screen,60118,CoolClimate,49,2,6
Screen,60119,Copyright Clearance Center,705,5,6
Screen,60120,CoreLogic,470,5,5
Screen,60121,CostQuest,517,6,3
Screen,60122,Credit Karma,231,3,5
Screen,60123,Credit Sesame,912,2,2
Screen,60124,CrowdANALYTIX,910,3,7
Screen,60125,Dabo Health,1062,4,2
Screen,60126,DataLogix,567,8,1
Screen,60127,DataMade,1033,2,7
Screen,60128,DataMarket,293,4,3
Screen,60129,Datamyne,143,5,3
Screen,60130,DataWeave,207,9,4
Screen,60131,Deloitte,779,2,6
Screen,60132,DemystData,427,6,1
Screen,60133,Department of Better Technology,431,8,6
Screen,60134,Development Seed,1065,7,1
Screen,60135,"Docket Alarm, Inc.",466,2,1
Screen,60136,Dow Jones & Co.,563,7,1
Screen,60137,Dun & Bradstreet,257,6,9
Screen,60138,Earth Networks,420,9,8
Screen,60139,EarthObserver App,147,1,1
Screen,60140,Earthquake Alert!,91,3,2
Screen,60141,Eat Shop Sleep,921,7,9
Screen,60142,Ecodesk,403,2,9
Screen,60143,eInstitutional,189,1,8
Screen,60144,Embark,970,9,1
Screen,60145,EMC,199,7,6
Screen,60146,"Energy Points, Inc.",425,7,3
Screen,60147,Energy Solutions Forum,155,4,1
Screen,60148,Enervee Corporation,163,3,8
Screen,60149,Enigma.io,797,5,2
Screen,60150,Ensco,823,8,4
Screen,60151,Environmental Data Resources,807,6,3
Screen,60152,Epsilon,348,4,9
Screen,60153,Equal Pay for Women,467,1,5
Screen,60154,Equifax,1011,8,3
Screen,60155,Equilar,467,1,6
Screen,60156,Ernst & Young LLP,171,5,2
Screen,60157,eScholar LLC.,918,7,4
Screen,60158,Esri,326,4,2
Screen,60159,Estately,815,7,3
Screen,60160,Everyday Health,130,4,7
Screen,60161,Evidera,1076,1,3
Screen,60162,Experian,62,3,2
Screen,60163,"Expert Health Data Programming, Inc.",705,7,3
Screen,60164,Exversion,1095,8,2
Screen,60165,Ez-XBRL,396,7,2
Screen,60166,Factset,62,6,4
Screen,60167,Factual,94,7,2
Screen,60168,Farmers,930,8,7
Screen,60169,FarmLogs,910,7,3
Screen,60170,Fastcase,687,3,2
Screen,60171,Fidelity Investments,942,4,8
Screen,60172,FindTheBest.com,541,3,8
Screen,60173,First Fuel Software,1040,3,6
Screen,60174,"FirstPoint, Inc.",330,4,5
Screen,60175,Fitch,365,6,6
Screen,60176,FlightAware,726,2,2
Screen,60177,FlightStats,448,5,7
Screen,60178,FlightView,435,2,6
Screen,60179,Food+Tech Connect,815,9,9
Screen,60180,Forrester Research,265,1,7
Screen,60181,Foursquare,546,7,3
Screen,60182,Fujitsu,764,1,4
Screen,60183,Funding Circle,638,7,3
Screen,60184,FutureAdvisor,513,2,9
Screen,60185,"Fuzion Apps, Inc.",353,1,1
Screen,60186,Gallup,499,3,2
Screen,60187,Galorath Incorporated,1043,9,9
Screen,60188,Garmin,1063,9,7
Screen,60189,Genability,781,7,8
Screen,60190,GenoSpace,490,6,6
Screen,60191,Geofeedia,87,6,2
Screen,60192,Geolytics,105,9,4
Screen,60193,Geoscape,382,6,4
Screen,60194,GetRaised,436,8,2
Screen,60195,GitHub,289,6,6
Screen,60196,Glassy Media,858,3,9
Screen,60197,Golden Helix,711,3,8
Screen,60198,GoodGuide,1016,3,8
Screen,60199,Google Maps,991,8,6
Screen,60200,Google Public Data Explorer,16,5,2
Screen,60201,Government Transaction Services,403,6,4
Screen,60202,Govini,406,8,5
Screen,60203,GovTribe,324,8,7
Screen,60204,"Govzilla, Inc.",78,9,7
Screen,60205,gRadiant Research LLC,581,2,9
Screen,60206,Graebel Van Lines,712,1,2
Screen,60207,"Graematter, Inc.",1051,6,7
Screen,60208,Granicus,664,6,6
Screen,60209,GreatSchools,307,6,5
Screen,60210,GuideStar,882,8,9
Screen,60211,H3 Biomedicine,995,9,6
Screen,60212,Harris Corporation,919,3,1
Screen,60213,"HDScores, Inc",636,1,5
Screen,60214,Headlight,322,4,5
Screen,60215,Healthgrades,386,2,9
Screen,60216,Healthline,364,6,8
Screen,60217,HealthMap,1037,3,9
Screen,60218,"HealthPocket, Inc.",210,9,4
Screen,60219,HelloWallet,824,5,1
Screen,60220,HERE,595,4,6
Screen,60221,Honest Buildings,603,5,5
Screen,60222,HopStop,181,1,3
Screen,60223,Housefax,128,4,6
Screen,60224,How's My Offer?,584,1,8
Screen,60225,IBM,759,4,7
Screen,60226,ideas42,953,6,6
Screen,60227,iFactor Consulting,563,3,1
Screen,60228,IFI CLAIMS Patent Services,387,3,5
Screen,60229,iMedicare,171,7,5
Screen,60230,Impact Forecasting (Aon),1085,1,8
Screen,60231,Impaq International,852,9,5
Screen,60232,Import.io,558,7,7
Screen,60233,IMS Health,96,6,8
Screen,60234,InCadence,193,3,7
Screen,60235,indoo.rs,741,8,5
Screen,60236,InfoCommerce Group,864,4,5
Screen,60237,Informatica,526,2,4
Screen,60238,InnoCentive,214,2,2
Screen,60239,Innography,775,7,3
Screen,60240,Innovest Systems,29,5,5
Screen,60241,Inovalon,534,5,4
Screen,60242,Inrix Traffic,168,3,8
Screen,60243,Intelius,784,2,7
Screen,60244,Intermap Technologies,1027,5,2
Screen,60245,Investormill,39,2,4
Screen,60246,Iodine,268,4,4
Screen,60247,IPHIX,922,9,4
Screen,60248,iRecycle,737,5,5
Screen,60249,iTriage,514,4,2
Screen,60250,IVES Group Inc,690,4,4
Screen,60251,IW Financial,399,5,2
Screen,60252,JJ Keller,222,7,7
Screen,60253,J.P. Morgan Chase,898,7,4
Screen,60254,"Junar, Inc.",83,8,6
Screen,60255,Junyo,330,4,4
Screen,60256,Jurispect,821,1,3
Screen,60257,Kaiser Permanante,1084,5,7
Screen,60258,karmadata,376,7,5
Screen,60259,Keychain Logistics Corp.,664,3,4
Screen,60260,"KidAdmit, Inc.",1054,5,2
Screen,60261,Kimono Labs,729,3,4
Screen,60262,KLD Research,557,3,9
Screen,60263,Knoema,1018,3,7
Screen,60264,Knowledge Agency,728,8,5
Screen,60265,KPMG,33,1,1
Screen,60266,Kroll Bond Ratings Agency,913,1,8
Screen,60267,Kyruus,402,9,5
Screen,60268,Lawdragon,922,2,3
Screen,60269,Legal Science Partners,196,6,5
Screen,60270,(Leg)Cyte,519,1,1
Screen,60271,"LegiNation, Inc.",983,8,7
Screen,60272,LegiStorm,63,4,7
Screen,60273,Lenddo,570,1,5
Screen,60274,Lending Club,280,5,3
Screen,60275,Level One Technologies,669,2,4
Screen,60276,LexisNexis,250,7,1
Screen,60277,Liberty Mutual Insurance Cos.,253,5,9
Screen,60278,Lilly Open Innovation Drug Discovery,402,9,1
Screen,60279,Liquid Robotics,1076,6,3
Screen,60280,Locavore,503,4,4
Screen,60281,"LOGIXDATA, LLC",42,7,9
Screen,60282,LoopNet,313,5,7
Screen,60283,"Loqate, Inc.",1067,7,3
Screen,60284,LoseIt.com,379,9,3
Screen,60285,LOVELAND Technologies,624,2,3
Screen,60286,Lucid,254,8,7
Screen,60287,"Lumesis, Inc.",612,9,6
Screen,60288,Mango Transit,929,7,8
Screen,60289,Mapbox,632,9,1
Screen,60290,Maponics,249,7,7
Screen,60291,MapQuest,1061,2,2
Screen,60292,"Marinexplore, Inc.",586,2,7
Screen,60293,MarketSense,130,3,6
Screen,60294,Marlin & Associates,688,8,8
Screen,60295,Marlin Alter and Associates,50,1,7
Screen,60296,McGraw Hill Financial,682,3,9
Screen,60297,McKinsey,240,9,8
Screen,60298,MedWatcher,446,7,9
Screen,60299,Mercaris,460,9,6
Screen,60300,Merrill Corp.,485,7,3
Screen,60301,Merrill Lynch,758,4,4
Screen,60302,MetLife,955,7,5
Screen,60303,mHealthCoach,932,4,5
Screen,60304,MicroBilt Corporation,62,5,2
Screen,60305,Microsoft Windows Azure Marketplace,726,2,8
Screen,60306,Mint,314,2,3
Screen,60307,Moody's,666,5,3
Screen,60308,Morgan Stanley,857,6,4
Screen,60309,"Morningstar, Inc.",964,4,7
Screen,60310,Mozio,42,3,9
Screen,60311,MuckRock.com,31,9,8
Screen,60312,Munetrix,1000,9,2
Screen,60313,Municode,653,7,3
Screen,60314,National Van Lines,334,8,9
Screen,60315,Nationwide Mutual Insurance Company,605,1,7
Screen,60316,Nautilytics,359,9,1
Screen,60317,Navico,97,1,9
Screen,60318,NERA Economic Consulting,790,2,6
Screen,60319,NerdWallet,40,5,5
Screen,60320,New Media Parents,1096,6,6
Screen,60321,Next Step Living,69,4,3
Screen,60322,NextBus,983,8,4
Screen,60323,nGAP Incorporated,18,3,1
Screen,60324,Nielsen,689,3,3
Screen,60325,Noesis,782,4,4
Screen,60326,NonprofitMetrics,179,2,6
Screen,60327,North American Van Lines,292,4,6
Screen,60328,Noveda Technologies,577,3,8
Screen,60329,NuCivic,1061,3,4
Screen,60330,Numedii,1035,7,5
Screen,60331,Oliver Wyman,590,3,8
Screen,60332,OnDeck,858,9,3
Screen,60333,OnStar,234,7,8
Screen,60334,"Ontodia, Inc",570,8,9
Screen,60335,Onvia,586,6,2
Screen,60336,Open Data Nation,87,6,5
Screen,60337,OpenCounter,1078,1,3
Screen,60338,OpenGov,632,1,3
Screen,60339,OpenPlans,61,8,5
Screen,60340,"OpportunitySpace, Inc.",1009,1,9
Screen,60341,Optensity,374,6,9
Screen,60342,optiGov,539,1,6
Screen,60343,OptumInsight,266,9,7
Screen,60344,Orlin Research,1006,4,9
Screen,60345,OSIsoft,1040,8,6
Screen,60346,OTC Markets,832,9,5
Screen,60347,Outline,810,8,8
Screen,60348,Oversight Systems,419,2,7
Screen,60349,Overture Technologies,200,9,6
Screen,60350,Owler,276,3,8
Screen,60351,Palantir Technologies,686,8,3
Screen,60352,Panjiva,827,3,2
Screen,60353,Parsons Brinckerhoff,181,7,4
Screen,60354,Patently-O,590,4,1
Screen,60355,PatientsLikeMe,40,7,8
Screen,60356,Pave,929,6,9
Screen,60357,Paxata,250,4,8
Screen,60358,"PayScale, Inc.",965,9,5
Screen,60359,PeerJ,635,1,6
Screen,60360,People Power,863,8,1
Screen,60361,Persint,308,9,3
Screen,60362,Personal Democracy Media,545,1,3
Screen,60363,"Personal, Inc.",89,9,2
Screen,60364,Personalis,195,3,7
Screen,60365,Peterson's,768,3,3
Screen,60366,PEV4me.com,339,6,2
Screen,60367,PIXIA Corp,728,2,5
Screen,60368,PlaceILive.com,899,8,1
Screen,60369,PlanetEcosystems,308,8,4
Screen,60370,PlotWatt,941,1,3
Screen,60371,Plus-U,1063,6,5
Screen,60372,PolicyMap,1039,7,5
Screen,60373,Politify,209,7,4
Screen,60374,Poncho App,83,5,2
Screen,60375,POPVOX,744,8,9
Screen,60376,Porch,379,1,1
Screen,60377,PossibilityU,865,6,1
Screen,60378,PowerAdvocate,199,6,4
Screen,60379,Practice Fusion,527,2,8
Screen,60380,Predilytics,914,2,3
Screen,60381,PricewaterhouseCoopers (PWC),862,7,3
Screen,60382,ProgrammableWeb,805,8,2
Screen,60383,Progressive Insurance Group,899,6,4
Screen,60384,Propeller Health,352,8,8
Screen,60385,ProPublica,624,3,1
Screen,60386,PublicEngines,150,9,5
Screen,60387,PYA Analytics,608,2,9
Screen,60388,"Qado Energy, Inc.",939,9,8
Screen,60389,Quandl,247,5,9
Screen,60390,Quertle,16,3,8
Screen,60391,Quid,914,3,7
Screen,60392,R R Donnelley,793,7,4
Screen,60393,RAND Corporation,79,6,6
Screen,60394,Rand McNally,856,7,1
Screen,60395,Rank and Filed,1011,4,9
Screen,60396,Ranku,147,3,4
Screen,60397,Rapid Cycle Solutions,52,7,6
Screen,60398,realtor.com,708,6,8
Screen,60399,Recargo,66,8,7
Screen,60400,ReciPal,383,1,5
Screen,60401,Redfin,421,3,2
Screen,60402,RedLaser,21,3,4
Screen,60403,Reed Elsevier,790,9,1
Screen,60404,REI Systems,288,1,4
Screen,60405,Relationship Science,720,6,8
Screen,60406,Remi,498,1,7
Screen,60407,Retroficiency,806,1,6
Screen,60408,Revaluate,215,9,5
Screen,60409,Revelstone,1044,8,6
Screen,60410,Rezolve Group,792,5,9
Screen,60411,Rivet Software,958,1,7
Screen,60412,Roadify Transit,332,9,8
Screen,60413,Robinson + Yu,435,2,7
Screen,60414,Russell Investments,83,4,9
Screen,60415,Sage Bionetworks,37,2,4
Screen,60416,SAP,239,4,6
Screen,60417,SAS,439,1,7
Screen,60418,Scale Unlimited,812,8,1
Screen,60419,Science Exchange,1078,4,5
Screen,60420,Seabourne,388,2,7
Screen,60421,SeeClickFix,823,7,5
Screen,60422,SigFig,410,7,7
Screen,60423,Simple Energy,89,5,4
Screen,60424,SimpleTuition,483,1,1
Screen,60425,SlashDB,584,7,2
Screen,60426,Smart Utility Systems,843,9,1
Screen,60427,SmartAsset,1095,9,5
Screen,60428,SmartProcure,61,5,8
Screen,60429,Smartronix,264,1,2
Screen,60430,SnapSense,246,8,4
Screen,60431,Social Explorer,803,9,2
Screen,60432,Social Health Insights,140,9,2
Screen,60433,SocialEffort Inc,952,9,7
Screen,60434,Socrata,1091,7,4
Screen,60435,Solar Census,197,4,8
Screen,60436,SolarList,994,9,9
Screen,60437,Sophic Systems Alliance,636,4,1
Screen,60438,S&P Capital IQ,598,7,8
Screen,60439,SpaceCurve,475,4,3
Screen,60440,SpeSo Health,590,6,5
Screen,60441,Spikes Cavell Analytic Inc,266,7,3
Screen,60442,Splunk,1079,8,4
Screen,60443,Spokeo,64,6,5
Screen,60444,SpotCrime,772,2,2
Screen,60445,SpotHero.com,777,8,7
Screen,60446,Stamen Design,1043,6,6
Screen,60447,Standard and Poor's,105,3,1
Screen,60448,State Farm Insurance,609,9,1
Screen,60449,Sterling Infosystems,417,4,4
Screen,60450,Stevens Worldwide Van Lines,1008,1,7
Screen,60451,STILLWATER SUPERCOMPUTING INC,520,7,6
Screen,60452,StockSmart,441,6,6
Screen,60453,Stormpulse,831,8,9
Screen,60454,StreamLink Software,221,3,4
Screen,60455,"StreetCred Software, Inc",534,3,7
Screen,60456,StreetEasy,517,9,9
Screen,60457,Suddath,279,3,6
Screen,60458,Symcat,1000,5,6
Screen,60459,Synthicity,294,6,6
Screen,60460,T. Rowe Price,928,2,3
Screen,60461,Tableau Software,683,2,9
Screen,60462,TagniFi,973,3,1
Screen,60463,Telenav,708,1,2
Screen,60464,Tendril,597,3,6
Screen,60465,Teradata,828,6,1
Screen,60466,The Advisory Board Company,229,8,8
Screen,60467,The Bridgespan Group,131,1,6
Screen,60468,The DocGraph Journal,556,7,3
Screen,60469,The Govtech Fund,1049,3,6
Screen,60470,The Schork Report,917,6,8
Screen,60471,The Vanguard Group,51,9,8
Screen,60472,Think Computer Corporation,684,6,8
Screen,60473,Thinknum,934,9,7
Screen,60474,Thomson Reuters,200,3,8
Screen,60475,TopCoder,704,6,1
Screen,60476,TowerData,1039,1,5
Screen,60477,TransparaGov,719,9,9
Screen,60478,TransUnion,309,9,5
Screen,60479,TrialTrove,884,7,2
Screen,60480,TrialX,113,6,6
Screen,60481,Trintech,501,9,8
Screen,60482,TrueCar,279,1,9
Screen,60483,Trulia,612,6,3
Screen,60484,TrustedID,1044,1,1
Screen,60485,TuvaLabs,631,6,8
Screen,60486,Uber,16,8,7
Screen,60487,Unigo LLC,845,4,8
Screen,60488,United Mayflower,259,7,6
Screen,60489,Urban Airship,121,3,5
Screen,60490,"Urban Mapping, Inc",780,2,2
Screen,60491,US Green Data,821,9,5
Screen,60492,U.S. News Schools,958,8,2
Screen,60493,USAA Group,209,5,9
Screen,60494,USSearch,296,4,2
Screen,60495,Verdafero,1015,9,6
Screen,60496,Vimo,302,4,5
Screen,60497,"VisualDoD, LLC",557,1,1
Screen,60498,Vital Axiom | Niinja,834,7,7
Screen,60499,VitalChek,553,5,1
Screen,60500,Vitals,419,9,4
Screen,60501,Vizzuality,290,6,2
Screen,60502,Votizen,757,8,9
Screen,60503,Walk Score,705,7,3
Screen,60504,WaterSmart Software,732,4,7
Screen,60505,WattzOn,832,3,7
Screen,60506,Way Better Patents,510,2,5
Screen,60507,Weather Channel,435,3,9
Screen,60508,Weather Decision Technologies,615,8,4
Screen,60509,Weather Underground,538,8,5
Screen,60510,WebFilings,390,2,3
Screen,60511,Webitects,128,6,1
Screen,60512,WebMD,532,7,5
Screen,60513,Weight Watchers,250,6,1
Screen,60514,WeMakeItSafer,907,6,5
Screen,60515,Wheaton World Wide Moving,928,9,3
Screen,60516,Whitby Group,380,8,6
Screen,60517,Wolfram Research,829,6,3
Screen,60518,Wolters Kluwer,755,4,7
Screen,60519,Workhands,130,1,3
Screen,60520,Xatori,1000,4,2
Screen,60521,Xcential,1084,8,8
Screen,60522,xDayta,717,1,3
Screen,60523,Xignite,217,2,5
Screen,60524,Yahoo,1001,3,9
Screen,60525,Zebu Compliance Solutions,910,1,2
Screen,60526,Yelp,362,9,5
Screen,60527,YourMapper,49,9,6
Screen,60528,Zillow,866,7,7
Screen,60529,ZocDoc,942,1,9
Screen,60530,Zonability,54,4,7
Screen,60531,Zoner,776,4,3
Screen,60532,Zurich Insurance (Risk Room),311,1,1
CPU,10001,Samsung ,989,9,2
CPU,10002,Intel,850,7,1
CPU,10003,Western Digital ,475,3,2
CPU,10004,"3 Round Stones, Inc.",988,6,3
CPU,10005,48 Factoring Inc.,507,8,2
CPU,10006,5PSolutions,998,7,1
CPU,10007,Abt Associates,812,5,7
CPU,10008,Accela,349,2,8
CPU,10009,Accenture,16,5,7
CPU,10010,AccuWeather,984,2,7
CPU,10011,Acxiom,831,8,3
CPU,10012,Adaptive,796,1,6
CPU,10013,Adobe Digital Government,765,7,2
CPU,10014,Aidin,50,2,6
CPU,10015,Alarm.com,436,6,5
CPU,10016,Allianz,676,9,2
CPU,10017,Allied Van Lines,432,4,7
CPU,10018,AllState Insurance Group,951,4,6
CPU,10019,Alltuition,384,4,3
CPU,10020,Altova,952,9,7
CPU,10021,Amazon Web Services,190,1,8
CPU,10022,American Red Ball Movers,175,8,4
CPU,10023,Amida Technology Solutions,149,7,7
CPU,10024,Analytica,655,3,5
CPU,10025,Apextech LLC,448,9,8
CPU,10026,Appallicious,707,9,9
CPU,10027,Aquicore,601,7,8
CPU,10028,Archimedes Inc.,496,3,1
CPU,10029,AreaVibes Inc.,586,5,3
CPU,10030,Arpin Van Lines,155,3,9
CPU,10031,Arrive Labs,471,3,4
CPU,10032,ASC Partners,613,9,2
CPU,10033,Asset4,989,5,9
CPU,10034,Atlas Van Lines,132,2,3
CPU,10035,AtSite,714,1,1
CPU,10036,"Aunt Bertha, Inc.",159,1,8
CPU,10037,Aureus Sciences (*Now part of Elsevier),919,1,4
CPU,10038,AutoGrid Systems,312,9,7
CPU,10039,Avalara,178,3,7
CPU,10040,Avvo,71,1,9
CPU,10041,Ayasdi,617,7,2
CPU,10042,Azavea,501,5,8
CPU,10043,BaleFire Global,703,1,8
CPU,10044,Barchart,537,4,7
CPU,10045,Be Informed,82,1,1
CPU,10046,Bekins,907,9,9
CPU,10047,Berkery Noyes MandASoft,34,4,5
CPU,10048,Berkshire Hathaway,931,7,7
CPU,10049,BetterLesson,21,1,7
CPU,10050,BillGuard,530,9,9
CPU,10051,Bing,122,1,8
CPU,10052,Biovia,420,1,9
CPU,10053,BizVizz,893,3,2
CPU,10054,BlackRock,953,5,1
CPU,10055,Bloomberg,63,1,2
CPU,10056,Booz Allen Hamilton,841,3,4
CPU,10057,Boston Consulting Group,656,3,8
CPU,10058,Boundless,849,1,3
CPU,10059,Bridgewater,133,7,6
CPU,10060,Brightscope,360,8,1
CPU,10061,BuildFax,627,8,5
CPU,10062,Buildingeye,112,9,4
CPU,10063,BuildZoom,752,2,1
CPU,10064,Business and Legal Resources,256,9,3
CPU,10065,Business Monitor International,194,2,6
CPU,10066,"Calcbench, Inc.",819,5,3
CPU,10067,Cambridge Information Group,975,4,1
CPU,10068,Cambridge Semantics,306,8,4
CPU,10069,CAN Capital,396,7,1
CPU,10070,Canon,785,9,8
CPU,10071,Capital Cube,20,5,7
CPU,10072,Cappex,242,4,3
CPU,10073,Captricity,956,7,6
CPU,10074,CareSet Systems,740,3,5
CPU,10075,Careset.com,452,6,4
CPU,10076,CARFAX,260,8,2
CPU,10077,Caspio,355,1,1
CPU,10078,Castle Biosciences,115,4,5
CPU,10079,CB Insights,428,6,7
CPU,10080,Ceiba Solutions,594,4,3
CPU,10081,Center for Responsive Politics,521,3,4
CPU,10082,Cerner,944,6,4
CPU,10083,Certara,800,5,2
CPU,10084,CGI,157,9,4
CPU,10085,Charles River Associates,287,6,4
CPU,10086,Charles Schwab Corp.,865,4,4
CPU,10087,Chemical Abstracts Service,998,9,6
CPU,10088,Child Care Desk,406,6,5
CPU,10089,Chubb,23,9,5
CPU,10090,Citigroup,802,1,9
CPU,10091,CityScan,364,3,4
CPU,10092,CitySourced,741,4,9
CPU,10093,Civic Impulse LLC,69,6,1
CPU,10094,Civic Insight,684,7,6
CPU,10095,Civinomics,774,7,5
CPU,10096,Civis Analytics,701,9,5
CPU,10097,Clean Power Finance,521,6,5
CPU,10098,ClearHealthCosts,659,9,1
CPU,10099,ClearStory Data,379,4,4
CPU,10100,Climate Corporation,395,6,1
CPU,10101,CliniCast,637,9,2
CPU,10102,Cloudmade,253,8,4
CPU,10103,Cloudspyre,633,9,1
CPU,10104,Code for America,695,3,2
CPU,10105,Code-N,108,8,3
CPU,10106,Collective IP,602,6,9
CPU,10107,"College Abacus, an ECMC initiative",643,7,3
CPU,10108,College Board,772,5,6
CPU,10109,Compared Care,22,7,5
CPU,10110,Compendia Bioscience Life Technologies,406,8,4
CPU,10111,Compliance and Risks,416,5,5
CPU,10112,Computer Packages Inc,897,8,3
CPU,10113,CONNECT-DOT LLC.,120,3,5
CPU,10114,ConnectEDU,579,7,6
CPU,10115,Connotate,439,6,4
CPU,10116,Construction Monitor LLC,984,9,6
CPU,10117,Consumer Reports,270,7,2
CPU,10118,CoolClimate,990,9,8
CPU,10119,Copyright Clearance Center,446,7,7
CPU,10120,CoreLogic,746,6,9
CPU,10121,CostQuest,984,8,6
CPU,10122,Credit Karma,245,1,3
CPU,10123,Credit Sesame,511,3,7
CPU,10124,CrowdANALYTIX,921,2,5
CPU,10125,Dabo Health,365,6,1
CPU,10126,DataLogix,478,9,2
CPU,10127,DataMade,205,2,3
CPU,10128,DataMarket,406,2,8
CPU,10129,Datamyne,752,6,8
CPU,10130,DataWeave,212,5,4
CPU,10131,Deloitte,907,4,9
CPU,10132,DemystData,135,3,6
CPU,10133,Department of Better Technology,498,9,4
CPU,10134,Development Seed,286,4,9
CPU,10135,"Docket Alarm, Inc.",584,7,6
CPU,10136,Dow Jones & Co.,962,2,3
CPU,10137,Dun & Bradstreet,979,7,7
CPU,10138,Earth Networks,723,8,9
CPU,10139,EarthObserver App,873,3,2
CPU,10140,Earthquake Alert!,651,4,1
